"","local_authority","phase_type","affordability","number_developments","rurality","housing_type","himidlow","number_beds","pupil_yield"
"195","LA11","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0128
"196","LA11","SEN","market.housing","Total","Total","Total","Total","Total",0
"197","LA11","SS","affordable.housing","Total","Total","Total","Total","Total",0.1282
"198","LA11","SS","market.housing","Total","Total","Total","Total","Total",0.2051
"199","LA12","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.8117
"200","LA12","All Phases","market.housing","Total","Total","Total","Total","Total",0.2738
"201","LA12","AP","affordable.housing","Total","Total","Total","Total","Total",0.0058
"202","LA12","AP","market.housing","Total","Total","Total","Total","Total",0
"203","LA12","EY","affordable.housing","Total","Total","Total","Total","Total",0.6563
"204","LA12","EY","market.housing","Total","Total","Total","Total","Total",0.1359
"205","LA12","FE","affordable.housing","Total","Total","Total","Total","Total",0.1223
"206","LA12","FE","market.housing","Total","Total","Total","Total","Total",0.0155
"207","LA12","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.7786
"208","LA12","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.2718
"209","LA12","PRU","affordable.housing","Total","Total","Total","Total","Total",0.0019
"210","LA12","PRU","market.housing","Total","Total","Total","Total","Total",0
"211","LA12","PS","affordable.housing","Total","Total","Total","Total","Total",0.734
"212","LA12","PS","market.housing","Total","Total","Total","Total","Total",0.1029
"213","LA12","SEN","affordable.housing","Total","Total","Total","Total","Total",0.033
"214","LA12","SEN","market.housing","Total","Total","Total","Total","Total",0.0019
"215","LA12","SS","affordable.housing","Total","Total","Total","Total","Total",0.2913
"216","LA12","SS","market.housing","Total","Total","Total","Total","Total",0.0194
"217","LA13","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.1257
"218","LA13","All Phases","market.housing","Total","Total","Total","Total","Total",0.4607
"219","LA13","AP","affordable.housing","Total","Total","Total","Total","Total",0
"220","LA13","AP","market.housing","Total","Total","Total","Total","Total",0
"221","LA13","EY","affordable.housing","Total","Total","Total","Total","Total",0.4555
"222","LA13","EY","market.housing","Total","Total","Total","Total","Total",0.1571
"223","LA13","FE","affordable.housing","Total","Total","Total","Total","Total",0.1204
"224","LA13","FE","market.housing","Total","Total","Total","Total","Total",0.0681
"225","LA13","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.1047
"226","LA13","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.4607
"227","LA13","PRU","affordable.housing","Total","Total","Total","Total","Total",0
"228","LA13","PRU","market.housing","Total","Total","Total","Total","Total",0
"229","LA13","PS","affordable.housing","Total","Total","Total","Total","Total",0.4136
"230","LA13","PS","market.housing","Total","Total","Total","Total","Total",0.1309
"231","LA13","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0209
"232","LA13","SEN","market.housing","Total","Total","Total","Total","Total",0
"233","LA13","SS","affordable.housing","Total","Total","Total","Total","Total",0.1361
"234","LA13","SS","market.housing","Total","Total","Total","Total","Total",0.1047
"235","LA14","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.0216
"236","LA14","All Phases","market.housing","Total","Total","Total","Total","Total",0.7792
"237","LA14","AP","affordable.housing","Total","Total","Total","Total","Total",0.0087
"238","LA14","AP","market.housing","Total","Total","Total","Total","Total",0
"239","LA14","EY","affordable.housing","Total","Total","Total","Total","Total",0.3506
"240","LA14","EY","market.housing","Total","Total","Total","Total","Total",0.3377
"241","LA14","FE","affordable.housing","Total","Total","Total","Total","Total",0.0996
"242","LA14","FE","market.housing","Total","Total","Total","Total","Total",0.0823
